name,rgi_id,increase_start,end,source
Fjortende Julibreen,RGI60-07.01492,2017,,Luckman/Kohler
Kvalbreen,RGI60-07.00293,2020,,Luckman
Scheelebreen,RGI60-07.00283,2021,,Kääb
Kongsvegen,RGI60-07.01481,2014,,Kohler
Liestølbreen,RGI60-07.01472,2020,,Luckman
Emmabreen,RGI60-07.00777,2010,2016,Kohler/Mannerfelt
Sonklarbreen,RGI60-07.00892,2017,,Kohler
Indrebøbreen,RGI60-07.00294,2018,,Kohler
Lilliehöökbreen,RGI60-07.00661,2012,2017,Mannerfelt
Ganskijbreen,RGI60-07.00897,2015,2017,Kohler/Mannerfelt
Negribreen,RGI60-07.01506,2017,,Kohler
Arnesenbreen,RGI60-07.00276,2016,,Kohler
Strongbreen,RGI60-07.00296,2014,2020,Kohler
Vasil’evbreen,RGI60-07.00299,2016,,Kohler
Recherchebreen,RGI60-07.00228,2017,2020,Kohler
Penckbreen,RGI60-07.00241,2014,2020,Kohler
Sveitsarfonna,RGI60-07.00233,2014,2020,Kohler
Zawadzkibreen,RGI60-07.00235,2004,2016,Kohler/Mannerfelt
Nathorstbreen,RGI60-07.00322,2006,2017,Kohler/Mannerfelt
Polakkbreen,RGI60-07.00237,2006,2016,Kohler/Mannerfelt
Dobrowolskibreen,RGI60-07.00298,2006,2016,Kohler/Mannerfelt
Tunabreen,RGI60-07.01458,2001,2005,Mannerfelt
Tunabreen,RGI60-07.01458,2016,,UNIS blog
Wahlenbergbreen,RGI60-07.00465,2010,2020,Mannerfelt/Sevestre
Osbornebreen W,RGI60-07.00482,2015,,Kohler/Mannerfelt
Aavatsmarkbreen,RGI60-07.00501,2013,,Sevestre
Blomstrandbreen,RGI60-07.00558,2006,2011,Sund/Burton/Mannerfelt
Storisstraumen,RGI60-07.00027,2013,,Kohler
Stonebreen,RGI60-07.01554,2012,,"Strozzi et al., 2017"
Monacobreen,RGI60-07.01494,2017,,Kohler
Davisbreen,RGI60-07.00321,2021,,Mannerfelt
Borebreen,RGI60-07.00464,2021,,Mannerfelt
